"Time","CO","CO2"
2021-12-22 10:30:00,,
2021-12-22 11:00:00,3531,1045
2021-12-22 11:30:00,,
2021-12-22 12:00:00,3451,1146
2021-12-22 12:30:00,3262,831
2021-12-22 13:00:00,3300,633
2021-12-22 13:30:00,3744,727
2021-12-22 14:00:00,2895,766
2021-12-22 14:30:00,3278,904
2021-12-22 15:00:00,3585,892
2021-12-22 15:30:00,3834,1001
2021-12-22 16:00:00,3939,908
2021-12-22 16:30:00,3993,780
2021-12-22 17:00:00,3001,783
2021-12-22 17:30:00,3657,701
2021-12-22 18:00:00,3227,634
2021-12-22 18:30:00,3286,613
2021-12-22 19:00:00,3403,609
2021-12-22 19:30:00,3062,580
2021-12-22 20:00:00,3043,523
2021-12-22 20:30:00,2545,537
2021-12-22 21:00:00,3000,512
2021-12-22 21:30:00,2630,506
2021-12-22 22:00:00,2658,465
2021-12-22 22:30:00,3300,453
2021-12-22 23:00:00,2771,465
2021-12-22 23:30:00,2878,458
2021-12-23 00:00:00,3227,458
2021-12-23 00:30:00,3204,411
2021-12-23 01:00:00,3124,438
2021-12-23 01:30:00,2832,461
2021-12-23 02:00:00,3075,449
2021-12-23 02:30:00,2890,447
2021-12-23 03:00:00,3024,429
2021-12-23 03:30:00,2598,402
2021-12-23 04:00:00,2894,413
2021-12-23 04:30:00,3004,431
2021-12-23 05:00:00,3702,498
2021-12-23 05:30:00,3032,556
2021-12-23 06:00:00,3088,563
2021-12-23 06:30:00,2767,554
2021-12-23 07:00:00,2661,546
2021-12-23 07:30:00,3119,547
2021-12-23 08:00:00,3094,538
2021-12-23 08:30:00,3014,570
2021-12-23 09:00:00,3311,577
2021-12-23 09:30:00,3098,696
2021-12-23 10:00:00,3459,971
2021-12-23 10:30:00,3605,924
2021-12-23 11:00:00,3300,837
2021-12-23 11:30:00,3476,769
2021-12-23 12:00:00,3499,632
2021-12-23 12:30:00,2916,522
2021-12-23 13:00:00,3310,648
2021-12-23 13:30:00,3226,666
2021-12-23 14:00:00,3277,743
2021-12-23 14:30:00,3268,658
2021-12-23 15:00:00,3156,712
2021-12-23 15:30:00,3417,630
2021-12-23 16:00:00,3177,671
2021-12-23 16:30:00,3229,555
2021-12-23 17:00:00,2732,631
2021-12-23 17:30:00,2844,593
2021-12-23 18:00:00,3384,543
2021-12-23 18:30:00,2909,568
2021-12-23 19:00:00,3099,609
2021-12-23 19:30:00,3345,607
2021-12-23 20:00:00,3402,623
2021-12-23 20:30:00,2899,636
2021-12-23 21:00:00,3193,609
2021-12-23 21:30:00,3009,632
2021-12-23 22:00:00,3036,664
2021-12-23 22:30:00,2745,685
2021-12-23 23:00:00,3415,701
2021-12-23 23:30:00,3390,717
2021-12-24 00:00:00,3872,716
2021-12-24 00:30:00,2884,719
2021-12-24 01:00:00,2939,712
2021-12-24 01:30:00,3288,707
2021-12-24 02:00:00,3904,736
2021-12-24 02:30:00,2997,739
2021-12-24 03:00:00,3455,698
2021-12-24 03:30:00,3108,683
2021-12-24 04:00:00,2868,698
2021-12-24 04:30:00,3244,712
2021-12-24 05:00:00,2869,687
2021-12-24 05:30:00,2976,625
2021-12-24 06:00:00,2736,602
2021-12-24 06:30:00,3057,581
2021-12-24 07:00:00,2844,564
2021-12-24 07:30:00,2871,565
2021-12-24 08:00:00,2953,557
2021-12-24 08:30:00,3276,576
2021-12-24 09:00:00,2686,593
2021-12-24 09:30:00,3092,610
2021-12-24 10:00:00,3077,945
2021-12-24 10:30:00,3815,953
2021-12-24 11:00:00,3253,931
2021-12-24 11:30:00,3211,813
2021-12-24 12:00:00,2996,706
2021-12-24 12:30:00,3088,533
2021-12-24 13:00:00,3001,762
2021-12-24 13:30:00,3440,763
2021-12-24 14:00:00,3333,802
2021-12-24 14:30:00,3458,846
2021-12-24 15:00:00,3448,790
2021-12-24 15:30:00,3440,837
2021-12-24 16:00:00,3359,834
2021-12-24 16:30:00,,
2021-12-24 17:00:00,3748,819
2021-12-24 17:30:00,2920,527
2021-12-24 18:00:00,3352,420
2021-12-24 18:30:00,3028,400
2021-12-24 19:00:00,2827,400
2021-12-24 19:30:00,2951,400
2021-12-24 20:00:00,2057,400
2021-12-24 20:30:00,2434,400
2021-12-24 21:00:00,2087,400
2021-12-24 21:30:00,2626,400
2021-12-24 22:00:00,2573,400
2021-12-24 22:30:00,2440,400
2021-12-24 23:00:00,2469,400
2021-12-24 23:30:00,2471,400
2021-12-25 00:00:00,1863,400
2021-12-25 00:30:00,1703,400
2021-12-25 01:00:00,1899,400
2021-12-25 01:30:00,1661,400
2021-12-25 02:00:00,1796,400
2021-12-25 02:30:00,1495,400
2021-12-25 03:00:00,2258,400
2021-12-25 03:30:00,2203,400
2021-12-25 04:00:00,1767,400
2021-12-25 04:30:00,1903,400
2021-12-25 05:00:00,1604,400
2021-12-25 05:30:00,1606,400
