"Time","TVOC"
2021-12-22 11:00:00,594
2021-12-22 12:00:00,629
2021-12-22 12:30:00,481
2021-12-22 13:00:00,465
2021-12-22 13:30:00,403
2021-12-22 14:00:00,414
2021-12-22 14:30:00,476
2021-12-22 15:00:00,415
2021-12-22 15:30:00,470
2021-12-22 16:00:00,403
2021-12-22 16:30:00,349
2021-12-22 17:00:00,367
2021-12-22 17:30:00,336
2021-12-22 18:00:00,345
2021-12-22 18:30:00,337
2021-12-22 19:00:00,350
2021-12-22 19:30:00,332
2021-12-22 20:00:00,333
2021-12-22 20:30:00,339
2021-12-22 21:00:00,331
2021-12-22 21:30:00,320
2021-12-22 22:00:00,303
2021-12-22 22:30:00,275
2021-12-22 23:00:00,292
2021-12-22 23:30:00,288
2021-12-23 00:00:00,247
2021-12-23 00:30:00,180
2021-12-23 01:00:00,206
2021-12-23 01:30:00,220
2021-12-23 02:00:00,223
2021-12-23 02:30:00,240
2021-12-23 03:00:00,230
2021-12-23 03:30:00,219
2021-12-23 04:00:00,222
2021-12-23 04:30:00,221
2021-12-23 05:00:00,230
2021-12-23 05:30:00,229
2021-12-23 06:00:00,210
2021-12-23 06:30:00,214
2021-12-23 07:00:00,233
2021-12-23 07:30:00,253
2021-12-23 08:00:00,242
2021-12-23 08:30:00,239
2021-12-23 09:00:00,225
2021-12-23 09:30:00,233
2021-12-23 10:00:00,407
2021-12-23 10:30:00,359
2021-12-23 11:00:00,279
2021-12-23 11:30:00,275
2021-12-23 12:00:00,271
2021-12-23 12:30:00,198
2021-12-23 13:00:00,299
2021-12-23 13:30:00,309
2021-12-23 14:00:00,381
2021-12-23 14:30:00,324
2021-12-23 15:00:00,385
2021-12-23 15:30:00,362
2021-12-23 16:00:00,370
2021-12-23 16:30:00,299
2021-12-23 17:00:00,366
2021-12-23 17:30:00,332
2021-12-23 18:00:00,330
2021-12-23 18:30:00,355
2021-12-23 19:00:00,332
2021-12-23 19:30:00,335
2021-12-23 20:00:00,336
2021-12-23 20:30:00,361
2021-12-23 21:00:00,349
2021-12-23 21:30:00,378
2021-12-23 22:00:00,389
2021-12-23 22:30:00,415
2021-12-23 23:00:00,402
2021-12-23 23:30:00,358
2021-12-24 00:00:00,389
2021-12-24 00:30:00,395
2021-12-24 01:00:00,405
2021-12-24 01:30:00,398
2021-12-24 02:00:00,440
2021-12-24 02:30:00,458
2021-12-24 03:00:00,415
2021-12-24 03:30:00,392
2021-12-24 04:00:00,385
2021-12-24 04:30:00,389
2021-12-24 05:00:00,385
2021-12-24 05:30:00,327
2021-12-24 06:00:00,318
2021-12-24 06:30:00,317
2021-12-24 07:00:00,336
2021-12-24 07:30:00,346
2021-12-24 08:00:00,333
2021-12-24 08:30:00,352
2021-12-24 09:00:00,343
2021-12-24 09:30:00,343
2021-12-24 10:00:00,671
2021-12-24 10:30:00,657
2021-12-24 11:00:00,643
2021-12-24 11:30:00,573
2021-12-24 12:00:00,497
2021-12-24 12:30:00,368
2021-12-24 13:00:00,558
2021-12-24 13:30:00,577
2021-12-24 14:00:00,588
2021-12-24 14:30:00,595
2021-12-24 15:00:00,554
2021-12-24 15:30:00,565
2021-12-24 16:00:00,547
2021-12-24 17:00:00,545
2021-12-24 17:30:00,411
2021-12-24 18:00:00,343
2021-12-24 18:30:00,310
2021-12-24 19:00:00,242
2021-12-24 19:30:00,109
2021-12-24 20:00:00,132
2021-12-24 20:30:00,99
2021-12-24 21:00:00,121
2021-12-24 21:30:00,97
2021-12-24 22:00:00,128
2021-12-24 22:30:00,122
2021-12-24 23:00:00,119
2021-12-24 23:30:00,46
2021-12-25 00:00:00,0
2021-12-25 00:30:00,0
2021-12-25 01:00:00,0
2021-12-25 01:30:00,0
2021-12-25 02:00:00,0
2021-12-25 02:30:00,0
2021-12-25 03:00:00,0
2021-12-25 03:30:00,8
2021-12-25 04:00:00,40
2021-12-25 04:30:00,26
2021-12-25 05:00:00,29
2021-12-25 05:30:00,5
2021-12-25 06:00:00,17
2021-12-25 06:30:00,30
2021-12-25 07:00:00,26
2021-12-25 07:30:00,34
2021-12-25 08:00:00,16
2021-12-25 08:30:00,0
2021-12-25 09:00:00,0
2021-12-25 09:30:00,0
2021-12-25 10:00:00,0
2021-12-25 10:30:00,368
2021-12-25 11:00:00,265
2021-12-25 11:30:00,323
2021-12-25 12:00:00,391
2021-12-25 12:30:00,228
